iter	Logloss
0	0.678329977
1	0.6681872867
2	0.6560105205
3	0.6461633472
4	0.6384648357
5	0.6323336429
6	0.6265456358
7	0.6220919485
8	0.6174925781
9	0.6138061167
10	0.6103771738
11	0.6055702498
12	0.6026411813
13	0.5997324855
14	0.5973692575
15	0.5937901255
16	0.590489421
17	0.5884388869
18	0.5855649024
19	0.5841357568
20	0.5824917018
21	0.5811419497
22	0.5802867844
23	0.5793879822
24	0.5778268641
25	0.5769563002
26	0.5759074941
27	0.5749697702
28	0.5742148967
29	0.5729940399
30	0.572395673
31	0.5715679029
32	0.5707141766
33	0.5701081476
34	0.569746825
35	0.5693300386
36	0.5688544455
37	0.5679688879
38	0.5673192502
39	0.5669623698
40	0.566358893
41	0.5657966539
42	0.5651301848
43	0.5647764539
44	0.564465765
45	0.5640660376
46	0.5637227396
47	0.5634512617
48	0.5632885151
49	0.5627880391
50	0.562574327
51	0.5623315368
52	0.5617628552
53	0.5615742452
54	0.5612674299
55	0.5610486204
56	0.5606628778
57	0.5602957463
58	0.5600590498
59	0.5597656762
60	0.5595073458
61	0.5592234852
62	0.5590422121
63	0.5587158016
64	0.5585694771
65	0.5584171649
66	0.5580513779
67	0.5579041777
68	0.5577445984
69	0.5574717324
70	0.5572666391
71	0.5571067335
72	0.5568940999
73	0.5567768243
74	0.5566191405
75	0.5563704447
76	0.5562084948
77	0.5560214943
78	0.5558633625
79	0.555684899
80	0.555494241
81	0.555354662
82	0.5552126131
83	0.5550565597
84	0.5548500733
85	0.5547146438
86	0.5545665373
87	0.554460091
88	0.5542479935
89	0.5540925162
90	0.5539112284
91	0.5538030946
92	0.5536456456
93	0.5534591114
94	0.5533076026
95	0.5532143733
96	0.5530903866
97	0.5529313295
98	0.5527699609
99	0.5525945569
100	0.5524403592
101	0.552340386
102	0.5521954028
103	0.5520331327
104	0.5518337353
105	0.5516758742
106	0.5515388089
107	0.5513270697
108	0.551120772
109	0.5509143796
110	0.5507518589
111	0.5506363185
112	0.5504966175
113	0.5503880737
114	0.5502617809
115	0.5501504638
116	0.5500042365
117	0.549857793
118	0.5496928251
119	0.5495544311
120	0.5494277861
121	0.5492697039
122	0.5491303065
123	0.5490402652
124	0.5489290453
125	0.5488103213
126	0.5486903318
127	0.5485906824
