iter	Passed	Remaining
0	14	14773
1	30	15383
2	47	15683
3	63	15781
4	79	15880
5	96	15919
6	113	16066
7	129	16066
8	144	15964
9	160	15853
10	175	15735
11	189	15609
12	208	15801
13	227	16015
14	243	16008
15	259	15930
16	275	15947
17	292	15960
18	307	15901
19	326	15974
20	344	16076
21	361	16054
22	379	16119
23	396	16132
24	415	16201
25	431	16148
26	449	16186
27	465	16176
28	482	16168
29	512	16555
30	525	16439
31	544	16463
32	562	16488
33	580	16485
34	598	16497
35	615	16486
36	634	16510
37	649	16450
38	667	16442
39	682	16380
40	699	16354
41	716	16340
42	736	16380
43	752	16345
44	767	16295
45	783	16255
46	798	16194
47	814	16148
48	828	16084
49	845	16056
50	861	16036
51	878	16010
52	894	15988
53	911	15964
54	927	15933
55	940	15861
56	956	15823
57	971	15778
58	987	15752
59	1001	15693
60	1017	15665
61	1033	15637
62	1049	15607
63	1065	15582
64	1080	15548
65	1096	15518
66	1110	15469
67	1126	15440
68	1142	15419
69	1158	15388
70	1172	15347
71	1188	15320
72	1206	15317
73	1221	15283
74	1236	15246
75	1252	15226
76	1269	15214
77	1287	15224
78	1304	15207
79	1319	15178
80	1337	15180
81	1353	15150
82	1367	15112
83	1382	15072
84	1400	15071
85	1414	15031
86	1429	15002
87	1445	14981
88	1462	14969
89	1477	14943
90	1494	14926
91	1509	14901
92	1524	14868
93	1541	14857
94	1557	14840
95	1574	14822
96	1586	14773
97	1602	14753
98	1620	14744
99	1636	14731
100	1652	14710
101	1668	14693
102	1686	14690
103	1701	14661
104	1716	14635
105	1735	14641
106	1752	14623
107	1769	14615
108	1785	14595
109	1801	14576
110	1818	14565
111	1832	14529
112	1845	14485
113	1858	14444
114	1871	14404
115	1887	14381
116	1902	14355
117	1917	14331
118	1931	14300
119	1944	14257
120	1956	14210
121	1970	14178
122	1981	14129
123	1997	14110
124	2012	14084
125	2027	14063
126	2042	14042
127	2058	14024
128	2074	14010
129	2090	13987
130	2104	13960
131	2119	13935
132	2132	13904
133	2145	13867
134	2160	13842
135	2174	13816
136	2188	13788
137	2202	13760
138	2217	13734
139	2233	13722
140	2250	13709
141	2266	13694
142	2281	13672
143	2296	13653
144	2310	13626
145	2327	13616
146	2341	13588
147	2358	13578
148	2373	13556
149	2388	13534
150	2404	13517
151	2419	13499
152	2433	13472
153	2448	13448
154	2462	13425
155	2479	13412
156	2493	13390
157	2508	13367
158	2526	13363
159	2541	13345
160	2556	13324
161	2573	13311
162	2587	13286
163	2601	13262
164	2616	13243
165	2633	13230
166	2647	13206
167	2663	13190
168	2677	13164
169	2693	13148
170	2708	13132
171	2725	13122
172	2742	13107
173	2757	13091
174	2773	13075
175	2787	13048
176	2802	13030
177	2816	13008
178	2831	12987
179	2845	12961
180	2860	12942
181	2872	12911
182	2888	12895
183	2904	12879
184	2919	12863
185	2935	12844
186	2948	12817
187	2962	12794
188	2977	12778
189	2990	12747
190	3004	12725
191	3016	12696
192	3031	12675
193	3046	12657
194	3062	12641
195	3076	12619
196	3089	12594
197	3103	12569
198	3117	12547
199	3132	12529
200	3144	12501
201	3162	12494
202	3177	12475
203	3191	12452
204	3206	12434
205	3221	12418
206	3236	12400
207	3251	12380
208	3268	12368
209	3318	12485
210	3334	12468
211	3359	12486
212	3374	12468
213	3388	12445
214	3406	12436
215	3424	12430
216	3439	12410
217	3453	12387
218	3470	12376
219	3487	12363
220	3503	12349
221	3519	12335
222	3533	12313
223	3550	12301
224	3567	12288
225	3583	12271
226	3599	12256
227	3614	12237
228	3632	12229
229	3650	12219
230	3665	12203
231	3680	12183
232	3694	12163
233	3709	12141
234	3721	12115
235	3737	12098
236	3750	12074
237	3763	12048
238	3777	12027
239	3790	12003
240	3805	11986
241	3819	11965
242	3835	11947
243	3849	11926
244	3864	11907
245	3878	11888
246	3891	11864
247	3903	11837
248	3916	11813
249	3931	11795
250	3946	11776
251	3959	11753
252	3974	11735
253	3989	11717
254	4002	11694
255	4016	11672
256	4029	11649
257	4044	11632
258	4057	11608
259	4073	11594
260	4087	11574
261	4101	11554
262	4116	11534
263	4129	11511
264	4144	11494
265	4159	11477
266	4171	11453
267	4188	11439
268	4203	11422
269	4219	11408
270	4233	11389
271	4247	11367
272	4265	11358
273	4280	11341
274	4296	11326
275	4311	11310
276	4329	11300
277	4345	11285
278	4361	11270
279	4375	11251
280	4393	11241
281	4411	11231
282	4427	11217
283	4442	11199
284	4456	11179
285	4470	11160
286	4485	11143
287	4500	11126
288	4514	11106
289	4528	11087
290	4543	11069
291	4557	11050
292	4574	11037
293	4589	11019
294	4603	11000
295	4618	10984
296	4633	10967
297	4650	10955
298	4668	10945
299	4684	10929
300	4700	10916
301	4712	10892
302	4728	10876
303	4740	10853
304	4753	10830
305	4766	10810
306	4780	10791
307	4795	10774
308	4811	10759
309	4830	10752
310	4842	10729
311	4856	10708
312	4870	10690
313	4885	10673
314	4921	10701
315	4935	10683
316	4948	10661
317	4960	10639
318	4973	10617
319	4987	10597
320	5001	10580
321	5015	10560
322	5028	10540
323	5043	10522
324	5057	10503
325	5071	10485
326	5085	10466
327	5097	10443
328	5120	10443
329	5134	10423
330	5148	10405
331	5163	10389
332	5179	10373
333	5192	10353
334	5207	10337
335	5221	10319
336	5235	10299
337	5249	10282
338	5264	10265
339	5281	10251
340	5297	10236
