index,voted
0,1
1,1
2,0
3,0
4,1
5,1
6,1
7,1
8,0
9,1
10,0
11,1
12,0
13,1
14,0
15,1
16,1
17,0
18,0
19,0
20,1
21,0
22,0
23,0
24,1
25,0
26,1
27,0
28,0
29,0
30,0
31,1
32,0
33,1
34,1
35,0
36,0
37,1
38,0
39,0
40,0
41,1
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,0
51,1
52,0
53,1
54,1
55,1
56,1
57,1
58,1
59,0
60,1
61,1
62,1
63,1
64,0
65,1
66,0
67,0
68,0
69,1
70,0
71,1
72,0
73,1
74,1
75,1
76,1
77,0
78,1
79,0
80,1
81,0
82,0
83,0
84,1
85,0
86,1
87,0
88,0
89,1
90,1
91,0
92,0
93,0
94,1
95,1
96,1
97,1
98,1
99,1
100,0
101,0
102,1
103,0
104,0
105,0
106,0
107,1
108,1
109,0
110,1
111,0
112,1
113,1
114,1
115,1
116,0
117,0
118,0
119,0
120,0
121,1
122,1
123,0
124,0
125,1
126,1
127,1
128,1
129,0
130,0
131,0
132,0
133,1
134,1
135,1
136,0
137,1
138,0
139,1
140,1
141,1
142,0
143,0
144,0
145,0
146,1
147,0
148,0
149,1
150,0
151,0
152,1
153,1
154,1
155,1
156,1
157,0
158,1
159,1
160,1
161,0
162,0
163,0
164,1
165,1
166,0
167,1
168,0
169,1
170,1
171,0
172,0
173,1
174,1
175,1
176,1
177,0
178,0
179,1
180,1
181,1
182,1
183,0
184,0
185,0
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,0
194,0
195,0
196,0
197,0
198,0
199,1
200,0
201,1
202,0
203,0
204,1
205,0
206,0
207,0
208,0
209,1
210,1
211,0
212,0
213,1
214,0
215,0
216,1
217,0
218,0
219,0
220,0
221,0
222,1
223,0
224,0
225,0
226,0
227,1
228,0
229,0
230,0
231,0
232,0
233,1
234,1
235,1
236,1
237,1
238,1
239,0
240,1
241,1
242,0
243,1
244,0
245,0
246,0
247,1
248,0
249,1
250,1
251,0
252,0
253,1
254,0
255,0
256,0
257,0
258,1
259,0
260,1
261,0
262,0
263,1
264,0
265,0
266,1
267,1
268,1
269,1
270,0
271,0
272,1
273,0
274,0
275,1
276,1
277,1
278,0
279,0
280,0
281,1
282,1
283,1
284,0
285,0
286,0
287,0
288,0
289,1
290,0
291,1
292,0
293,1
294,1
295,0
296,0
297,0
298,0
299,1
300,1
301,1
302,1
303,0
304,1
305,1
306,0
307,0
308,1
309,1
310,0
311,1
312,1
313,1
314,0
315,1
316,0
317,1
318,0
319,0
320,1
321,1
322,1
323,0
324,1
325,0
326,0
327,0
328,0
329,1
330,1
331,0
332,0
333,1
334,1
335,1
336,0
337,1
338,1
339,1
340,1
341,0
342,1
343,0
344,1
345,0
346,0
347,1
348,0
349,0
350,1
351,1
352,0
353,0
354,1
355,0
356,1
357,0
358,1
359,0
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,0
369,0
370,0
371,1
372,0
373,1
374,0
375,1
376,0
377,0
378,1
379,0
380,1
381,1
382,1
383,0
384,0
385,0
386,0
387,0
388,1
389,0
390,1
391,1
392,0
393,0
394,0
395,1
396,0
397,0
398,1
399,0
400,0
401,1
402,1
403,1
404,0
405,0
406,0
407,0
408,0
409,1
410,0
411,1
412,1
413,1
414,0
415,0
416,0
417,1
418,1
419,0
420,1
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,1
435,0
436,1
437,0
438,0
439,1
440,1
441,0
442,1
443,1
444,0
445,0
446,0
447,0
448,0
449,1
450,0
451,1
452,0
453,1
454,0
455,0
456,1
457,1
458,1
459,1
460,0
461,0
462,1
463,1
464,0
465,0
466,0
467,1
468,1
469,1
470,1
471,1
472,1
473,0
474,1
475,1
476,1
477,1
478,1
479,1
480,0
481,1
482,0
483,1
484,1
485,1
486,0
487,0
488,0
489,0
490,1
491,0
492,0
493,1
494,1
495,1
496,0
497,1
498,0
499,0
500,1
501,1
502,1
503,0
504,0
505,1
506,0
507,0
508,0
509,1
510,0
511,1
512,1
513,1
514,1
515,0
516,0
517,0
518,0
519,1
520,0
521,1
522,1
523,0
524,0
525,1
526,1
527,1
528,1
529,1
530,1
531,0
532,0
533,1
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,1
543,0
544,1
545,0
546,1
547,0
548,1
549,1
550,0
551,0
552,0
553,1
554,0
555,0
556,0
557,1
558,0
559,1
560,1
561,1
562,0
563,1
564,1
565,1
566,0
567,0
568,1
569,0
570,0
571,1
572,0
573,1
574,0
575,1
576,0
577,1
578,1
579,1
580,0
581,1
582,1
583,0
584,1
585,1
586,0
587,0
588,1
589,0
590,1
591,0
592,1
593,0
594,0
595,0
596,0
597,0
598,1
599,1
600,1
601,0
602,1
603,1
604,0
605,0
606,0
607,0
608,1
609,1
610,0
611,1
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,1
620,0
621,1
622,0
623,0
624,0
625,0
626,1
627,1
628,1
629,1
630,1
631,0
632,1
633,0
634,0
635,1
636,0
637,0
638,0
639,1
640,1
641,1
642,0
643,1
644,0
645,0
646,1
647,1
648,0
649,0
650,1
651,0
652,1
653,0
654,0
655,1
656,0
657,0
658,1
659,1
660,1
661,1
662,0
663,1
664,1
665,0
666,1
667,0
668,1
669,1
670,0
671,0
672,1
673,1
674,0
675,0
676,1
677,0
678,1
679,0
680,0
681,1
682,1
683,1
684,0
685,1
686,0
687,1
688,0
689,0
690,0
691,1
692,1
693,1
694,0
695,0
696,1
697,0
698,1
699,0
700,0
701,0
702,0
703,0
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,0
712,0
713,0
714,1
715,1
716,0
717,1
718,0
719,0
720,1
721,1
722,0
723,1
724,0
725,0
726,1
727,1
728,0
729,1
730,1
731,1
732,1
733,1
734,0
735,1
736,1
737,1
738,1
739,1
740,0
741,1
742,1
743,1
744,1
745,0
746,0
747,0
748,0
749,1
750,0
751,1
752,0
753,1
754,0
755,1
756,1
757,0
758,1
759,0
760,0
761,1
762,0
763,0
764,1
765,0
766,1
767,0
768,1
769,1
770,0
771,1
772,1
773,1
774,0
775,0
776,0
777,0
778,0
779,1
780,1
781,1
782,0
783,1
784,1
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,1
793,0
794,1
795,1
796,0
797,1
798,0
799,0
800,1
801,1
802,1
803,1
804,0
805,0
806,0
807,0
808,0
809,0
810,1
811,0
812,0
